top - 11:11:19 up  2:43,  4 users,  load average: 1.15, 0.45, 0.32
Tasks: 319 total,   2 running, 317 sleeping,   0 stopped,   0 zombie
%Cpu(s): 24.2 us, 24.2 sy,  0.0 ni, 50.5 id,  1.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :   3354.5 total,    429.7 free,   1436.6 used,   1806.2 buff/cache     
MiB Swap:   3530.0 total,   3526.0 free,      4.0 used.   1917.9 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
    839 gnome-r+  20   0  521460  17204  14772 S   0.0   0.5   0:00.13 gnome-r+
    847 polkitd   20   0  389484  12036   8284 S   0.0   0.4   0:03.06 polkitd
    861 root      20   0 1918580  34584  22232 S   0.0   1.0   0:04.93 snapd
    875 root      20   0  311888   7492   6852 S   0.0   0.2   0:02.61 account+
    879 root      20   0    9704   3080   2952 S   0.0   0.1   0:00.61 cron
    882 root      20   0  310752   7508   6740 S   0.0   0.2   0:00.17 switche+
    900 root      20   0   19052   9340   8188 S   0.0   0.3   0:01.28 systemd+
    907 root      20   0  544908  15016  12072 S   0.0   0.4   0:02.33 udisksd
    930 syslog    20   0  220732   5872   4336 S   0.0   0.2   0:00.99 rsyslogd
    953 avahi     20   0    6608   1516   1256 S   0.0   0.0   0:00.00 avahi-d+
    975 root      20   0  339932  20068  17124 S   0.0   0.6   0:05.57 Network+
    979 root      20   0   18416   6392   5624 S   0.0   0.2   0:00.60 wpa_sup+
   1060 root      20   0  391392  12556  10636 S   0.0   0.4   0:00.18 ModemMa+
   1424 root      20   0  123608  29636  16232 S   0.0   0.9   0:00.13 unatten+
   1454 root      20   0  313452   9420   8396 S   0.0   0.3   0:00.24 gdm3
   1466 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 psimon
   1506 root      20   0  312084   7496   6856 S   0.0   0.2   0:00.12 power-p+
   1540 rtkit     21   1   87396   3200   3072 S   0.0   0.1   0:01.43 rtkit-d+
   1660 colord    20   0  318888  14804  10324 S   0.0   0.4   0:00.20 colord
   1702 root      20   0  321276  10300   8636 S   0.0   0.3   0:00.25 upowerd
   2082 root      20   0  388984  11388   9852 S   0.0   0.3   0:00.52 gdm-ses+
   2092 mellab6   20   0   23220  13956  10628 S   0.0   0.4   0:02.95 systemd
   2094 mellab6   20   0   22476   3616   1756 S   0.0   0.1   0:00.00 (sd-pam)
   2107 mellab6   20   0    7776   3644   3388 S   0.0   0.1   0:00.16 mpris-p+
   2108 mellab6   20   0  173656  14412   9152 S   0.0   0.4   0:48.20 pipewire
   2110 mellab6   20   0   87692   5764   5124 S   0.0   0.2   0:00.03 pipewire
   2113 mellab6   20   0  483116  19800  14808 S   0.0   0.6   0:01.87 wireplu+
   2114 mellab6   20   0  190556  15680  11600 S   0.0   0.5   0:04.97 pipewir+
   2115 mellab6   20   0  186100  10628   9732 S   0.0   0.3   0:00.65 gnome-k+
   2116 mellab6   20   0   10548   7592   4648 S   0.0   0.2   0:04.98 dbus-da+
   2161 mellab6   20   0  683900   7272   6632 S   0.0   0.2   0:00.41 xdg-doc+
   2166 mellab6   20   0  310048   6536   6024 S   0.0   0.2   0:00.06 xdg-per+
   2173 mellab6   20   0  170880   6340   5956 S   0.0   0.2   0:00.03 gdm-way+
   2182 mellab6   20   0  198716  14496  12832 S   0.0   0.4   0:00.06 gnome-s+
   2185 root      20   0    2772   2200   2200 S   0.0   0.1   0:00.00 fusermo+
   2257 mellab6   20   0   97716   7284   6644 S   0.0   0.2   0:00.01 gcr-ssh+
   2260 mellab6   20   0   90120   5400   5016 S   0.0   0.2   0:00.02 gnome-s+
   2272 mellab6   20   0  389320   8296   7528 S   0.0   0.2   0:00.33 gvfsd
   2288 mellab6   20   0  469720   7428   6788 S   0.0   0.2   0:00.03 gvfsd-f+
   2295 mellab6   20   0  699464  16188  13756 S   0.0   0.5   0:00.62 gnome-s+
   2347 mellab6   20   0  381476   7624   6984 S   0.0   0.2   0:00.09 at-spi-+
   2359 mellab6   20   0    8884   4956   4444 S   0.0   0.1   0:00.14 dbus-da+
   2395 mellab6   20   0  169120   7280   6768 S   0.0   0.2   0:00.08 at-spi2+
   2424 mellab6   20   0  660224  22556  18860 S   0.0   0.7   0:00.38 gnome-s+
   2442 mellab6   20   0 2733636  28996  23700 S   0.0   0.8   0:00.23 gjs
   2444 mellab6   20   0  388372  11400   7460 S   0.0   0.3   1:07.68 ibus-da+
   2445 mellab6   20   0  245048   7208   6568 S   0.0   0.2   0:00.07 gsd-a11+
   2446 mellab6   20   0  413932  19964  17020 S   0.0   0.6   0:00.62 gsd-col+
   2447 mellab6   20   0  257028  10100   9076 S   0.0   0.3   0:00.08 gsd-dat+
   2448 mellab6   20   0  386308   8632   7736 S   0.0   0.3   0:00.88 gsd-hou+
   2450 mellab6   20   0  411856  18796  16108 S   0.0   0.5   0:00.20 gsd-key+
   2451 mellab6   20   0  581220  23576  20120 S   0.0   0.7   0:00.56 gsd-med+
   2454 mellab6   20   0  415840  21092  18148 S   0.0   0.6   0:00.49 gsd-pow+
   2455 mellab6   20   0  323548  11688  10280 S   0.0   0.3   0:00.10 gsd-pri+
   2456 mellab6   20   0  458268   7316   6676 S   0.0   0.2   0:00.14 gsd-rfk+
   2457 mellab6   20   0  310352   6824   6312 S   0.0   0.2   0:00.06 gsd-scr+
   2460 mellab6   20   0  469048  11712  10304 S   0.0   0.3   0:00.28 gsd-sha+
   2462 mellab6   20   0  386760   8868   7972 S   0.0   0.3   0:00.08 gsd-sma+
   2463 mellab6   20   0  257512   9860   8836 S   0.0   0.3   0:00.07 gsd-sou+
   2465 mellab6   20   0  413484  20120  16408 S   0.0   0.6   0:00.24 gsd-wac+
   2466 mellab6   20   0  961828  44244  35924 S   0.0   1.3   0:00.49 evoluti+
   2479 mellab6   20   0  840244  65124  51556 S   0.0   1.9   0:03.03 evoluti+
   2490 mellab6   20   0  306564   7604   6452 S   0.0   0.2   0:00.09 gsd-dis+
   2589 mellab6   20   0  463796  11648   9856 S   0.0   0.3   0:00.44 gvfs-ud+
   2615 mellab6   20   0  171900   7456   6944 S   0.0   0.2   0:00.02 ibus-me+
   2618 mellab6   20   0  423772  31276  17952 S   0.0   0.9   0:07.93 ibus-ex+
   2626 mellab6   20   0  311220   7668   7156 S   0.0   0.2   0:00.28 ibus-po+
   2628 mellab6   20   0  417768  14660  12868 S   0.0   0.4   0:00.18 gsd-pri+
   2633 mellab6   20   0  522884  24736  21152 S   0.0   0.7   0:00.15 goa-dae+
   2683 mellab6   20   0 1174236  25344  21888 S   0.0   0.7   0:00.52 evoluti+
   2689 mellab6   20   0  392508   8688   7664 S   0.0   0.3   0:05.70 gvfs-af+
   2697 mellab6   20   0  390648  10016   8992 S   0.0   0.3   0:00.33 goa-ide+
   2705 mellab6   20   0  311644   7396   6756 S   0.0   0.2   0:00.18 gvfs-gp+
   2721 mellab6   20   0  754312  29428  25716 S   0.0   0.9   0:00.29 evoluti+
   2722 mellab6   20   0  310520   6692   6180 S   0.0   0.2   0:00.17 gvfs-go+
   2730 mellab6   20   0  310668   7220   6580 S   0.0   0.2   0:00.18 gvfs-mt+
   2740 mellab6   20   0   39136  11660  10252 S   0.0   0.3   0:00.13 snapd-d+
   2785 mellab6   20   0  429612  29940  21344 S   0.0   0.9   0:00.34 snapd-d+
   2817 mellab6   20   0  172024   7872   7104 S   0.0   0.2   0:20.02 ibus-en+
   2829 mellab6   20   0  165420   6116   5604 S   0.0   0.2   0:00.17 dconf-s+
   2855 mellab6   20   0  171640   6808   6296 S   0.0   0.2   0:00.11 gvfsd-m+
   2856 mellab6   20   0  610784   9740   8332 S   0.0   0.3   0:00.55 gvfsd-t+
   2884 mellab6   20   0 2733620  28740  23660 S   0.0   0.8   0:00.51 gjs
   2902 mellab6   39  19  811652  29772  19304 S   0.0   0.9   0:01.45 localse+
   2921 mellab6   20   0  706208  19368  15400 S   0.0   0.6   0:03.81 xdg-des+
   2926 mellab6   20   0  531280  41272  31928 S   0.0   1.2   0:01.16 xdg-des+
   3000 mellab6   20   0  417844  25628  18972 S   0.0   0.7   0:00.39 xdg-des+
   3066 mellab6   20   0  577312  33352  25928 S   0.0   1.0   0:03.39 update-+
   3206 mellab6   20   0   12260   6496   4320 S   0.0   0.2   0:00.11 bash
   3248 root      20   0   13384   5812   5048 S   0.0   0.2   0:00.20 su
